Producent;Model;Cena;Waga;PrzyslonaMin;CzyStaloogniskowy;TypGwintu;CzyDoPortretu;CzyDoMakrofotografii;CzyDoNocnych
Canon;EF 50mm;459;160;1,8;1;EF;0;1;0
Canon;EF 50mm;1250;290;1,4;1;EF;0;1;0
Canon;EF 85mm;1424;250;1,8;1;EF;0;0;1
Canon;EF 24-70mm;6738;805;2,8;0;EF;1;0;1
Canon;EF 40mm;749;130;2,8;1;EF;0;1;0
Canon;EF 24-105mm;3699;795;1,8;0;EF;0;1;0
Canon;EF 70-200mm;2549;705;4,0;0;EF;1;0;1
Nikon;35mm;659;210;1,8;1;Nikon F-mount;0;0;0
Nikon;50mm;869;185;1,8;1;Nikon F-mount;0;1;0
Nikon;55-300mm;1899;530;4,5;0;Nikon F-mount;1;0;1
Nikon;55-200mm;999;240;4,0;0;Nikon F-mount;1;0;0
Nikon;50 mm;1775;290;1,4;1;Nikon F-mount;0;1;1
Olympus;Zuiko 9-18mm;2769;155;4,0;0;Micro Four Thirds;0;0;0
Olympus;M.Zuiko 12mm;3285;130;2,0;1;Micro Four Thirds;1;0;0
Olympus;Zuiko 12-200mm;3899;300;3,5;0;Micro Four Thirds;0;1;0
Olympus;M.Zuiko 14-150mm;2299;285;4,0;0;Micro Four Thirds;0;0;0
Olympus;M.Zuiko 14-42mm;599;120;3,5;0;Micro Four Thirds;1;0;1
Praktica;MC Peleng 8 mm;1100;370;3,5;1;M42;1;0;0
Praktica;Mamiya-Sekor Fish-Eye 14 mm ;900;300;3,5;1;M42;1;0;0
Praktica;Mamiya-Sekor Fish-Eye 14 mm ;1000;320;2,8;0;M42;1;0;0
Praktica;Beroflex 80-200 mm;300;370;3,9;0;PB;1;1;0
Praktica;Carl Zeiss Jena 135mm;360;270;2,8;1;PB;1;1;1
Praktica;Carl Zeiss Jena Macro-Prakticar 55mm;300;185;2,8;1;PB;1;0;0
Pentax;Spiratone YS 18 mm ;240;365;3,2;1;M42;1;1;0
Pentax;Pentax-M 50mm;160;185;1,7;0;K;1;1;1
Pentax;Pentax-DA 35mmÂ ;540;124;2,4;1;K;1;1;1
Pentax;Pentax-DA* 50-135mm;3200;685;2,8;0;K;1;0;0
